name,price_category,flash_information,tagline,description,is_active,annees-80,variete,tribute,country,chanson,musette,musique-de-film,jeune-public,a-cappella,noel,rock-n-roll,comptines,disco,musique-traditionnelle,conte,jazz,pop-anglaise,fete-communale,mariage,soiree-privee,spectacle-jeune-public,concert,conte-musical,mediatheque,marche-de-noel,cocktail-vin-d-honneur,bal,animation-de-rue-terrasse
Club 80,entre 1000€ et 2000€,,L'ambiance des dance-floors de la décennie mythique !,"Avec Club 80, replongez le temps d'un concert à l'époque où tout était possible ! A travers les tubes les plus emblématiques de la décennie, retrouvez vos artistes préférés , français ou internationaux…
Accompagnés des quatre musiciens-chanteurs de Club 80, faites chauffer le dance-floor pour une nuit de folie au son des Rita Mitsouko, Eurythmics, et de Gold, mais aussi du rock de Téléphone et de Niagara, sans oublier Mylène Farmer, Michel Sardou ou encore Madonna ! Que serait une soirée en boîte sans un bon slow  avec Still Loving You des Scorpions !
Les années 80, à la mode depuis les années 80 !",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
L’équipe à Jojo,+ de 2000€,,Un hommage côté far west...,"L'équipe à Jojo revisite les chansons du célèbre  et populaire Joe Dassin  en allant puiser dans ses racines musicales : country, ambiance western, cowboys et saloon sur des titres connus de tous pour un concert festif et une bonne dose de bonne humeur, comme  Joe savait la transmettre !
Aller, on vous embarque, il n'y a jamais un copain de trop dans l'équipe à Jojo !",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Orchestre Bleu Nuit,entre 1000€ et 2000€,,L'assurance d'une fête réussie !,"L'Orchestre Bleu Nuit, fort d'une expérience de plus de 20 ans dans l'animation de tous types d'événements (bal, thé dansant, fête patronale, repas dansant, mariage, anniversaire, etc), saura faire de votre soirée un moment festif et convivial inoubliable. Avec un répertoire festif de plus de 5h, tout y passe, du musette aux derniers tubes actuels, afin de satisfaire toutes les générations, et tous les publics !
L'orchestre propose plusieurs formules adaptées à toutes les situations, allant de 3 ou 4 musiciens-chanteurs multi-instrumentistes (formules réduite et classique) à 7 ou 8 avec section cuivres, guitariste supplémentaire, etc
N'hésitez plus et faites le choix de la qualité avec Bleu Nuit !",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0
A plein Tube,- de 1000€,,Rien que des tubes !,"Le duo @ Plein Tubes vous propose un programme de tubes d'hier et d'aujourd'hui, dans un esprit variété - pop, pour un moment musical adapté à vos réceptions, moments festifs, terrasses musicales et autres événements conviviaux.
Un duo dynamique et sympathique pour une animation réussie !
",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1
Les yeux dans le rétro,- de 1000€,,Un petit coup d’œil en arrière...,"Les Yeux dans le Rétro vous propose un voyage dans le temps à tous les niveaux : un programme musical au cœur de la chanson française des années 40 et 50, costumes d'époque, et pas d’électricité, pas de micro, mais simplement un piano à brettelles et une voix pour vous interpréter les classiques de la chanson tricolore !
Une animation déambulatoire musicale et visuelle idéale pour foires, brocantes, vides-greniers, rencontres de collectionneurs, ou tout simplement au bord de l'eau pour un moment festif comme à l'époque des guinguettes !
Et n’oubliez pas l’angle mort !",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1
Les Zazous,+ de 2000€,,Plutôt Aladdin ou Livre de la Jungle ?,"Disney nous a tous embarqués pour des aventures fabuleuses dans un imaginaire fantastique. Il est l'heure de se replonger au cœur de ces mondes merveilleux...
Accrochez vos ceintures et suivez le guide... ou plutôt LES guides ! Les Zazous sont douze, douze voix singulières qui vous feront revivre la magie de Disney en chantant les plus célèbres bandes originales du cinéma d'animation. La Petite Sirène, le Roi Lion, Mulan, Vaiana, la Reine des Neiges, tous les plus grands titres passeront à la moulinette de ce chœur mixte avec des arrangements originaux exclusivement a capella.
Un concert étonnant qui enchantera les plus petits comme les grands !",1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0
Un concert pour Doudou,- de 1000€,,​Et vous ? Serez-vous prêts à aider Doudou ?,"Doudou s'est égaré et il aimerait bien retrouver sa maison.
Il rencontre trois musiciens-chanteurs qui l'aideront dans sa quête : celle-ci sera riche de rencontres et de chansons connues de tous !
Un spectacle-concert pour les moins de 6 ans où ils retrouveront ou découvriront les classiques de la chanson enfantine, et prendront plaisir à accompagner Doudou dans son aventure ! 
Tous avec Doudou !",1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0
Let’s Goldman,+ de 2000€,,Un concert 100% Goldman !,"Les six musiciens de Let's Goldman Pour les Autres proposent un tribute original à Jean-Jacques GOLDMAN, inspiré non pas des enregistrements studio, comme cela a déjà été fait, et bien fait, mais basé sur des versions live toutes époques confondues, qui vous donnera l'illusion encore plus forte d'un concert de la personnalité préférée des français ! Le nouveau programme du groupe vous propose de retrouver en live les plus grand tubes de JJ Goldman, mais aussi d'aller à la rencontre de son travail pour les autres : Céline Dion, Johnny Halyday, Partick Fiori, Patricia Kaas, Florent Pagny, et bien d'autres encore !",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Side Up,entre 1000€ et 2000€,,Vous reprendrez bien un peu de boule à facettes ?,"Side Up est un groupe de Funk dont la mission est de vous faire chanter et danser sur les plus grands titres Funk des années 70 à nos jours. A travers les reprises de légende telles que celles de Stevie Wonder, Prince, Bruno Mars, Chic et d'autres encore, Side Up se veut éclectique et résolument moderne. L'énergie funk est incarnée par 5 musiciens qui ne manqueront pas de retranscrire le groove emblématique du style pour retourner le dance-floor !
You've gotta get on the groove, If you want your body to move !",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
Two Wings,- de 1000€,,Le son vintage des années rock'n roll...,"Le son vintage des années rock'n roll...
Two Wings est un duo étonnant et détonnant qui vous emmènera danser sur les plus grands tubes rock'n roll, boogie, blues, ou encore country ! Une batterie, un piano, et deux voix fraternelles se marient pour vous offrir une musique énergique et vintage.
Avec Two Wings, le parquet n'a pas fini de chauffer, lors chaussez vos plus belles rockin' shoes, revêtez vos pétillantes robes à pois et c'est à vous !
Let that boogie-woogie roll !",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1
